datetime,open,high,low,close,volume
2024-02-01 00:00:00,1800.0,1808.58,1799.54,1805.88,735
2024-02-01 01:00:00,1806.48,1810.69,1805.48,1810.16,1677
2024-02-01 02:00:00,1810.16,1812.6,1805.46,1805.99,960
2024-02-01 03:00:00,1805.99,1811.94,1804.89,1810.15,1034
2024-02-01 04:00:00,1810.15,1814.64,1808.1,1813.22,453
2024-02-01 05:00:00,1813.22,1813.81,1807.9,1809.0,1066
2024-02-01 06:00:00,1809.0,1817.3,1805.52,1814.23,2987
2024-02-01 07:00:00,1814.23,1822.49,1809.25,1820.54,2128
2024-02-01 08:00:00,1820.54,1821.14,1813.27,1814.03,2908
2024-02-01 09:00:00,1814.03,1823.78,1811.28,1821.2,1882
2024-02-01 10:00:00,1821.2,1824.37,1813.01,1814.95,3053
2024-02-01 11:00:00,1814.95,1819.71,1810.68,1811.49,3939
2024-02-01 12:00:00,1811.49,1822.17,1811.13,1816.76,2041
2024-02-01 13:00:00,1816.76,1817.93,1806.83,1809.97,4642
2024-02-01 14:00:00,1809.97,1817.96,1807.26,1815.93,2667
2024-02-01 15:00:00,1815.93,1819.71,1804.17,1806.93,1416
2024-02-01 16:00:00,1806.93,1808.61,1804.77,1808.38,1779
2024-02-01 17:00:00,1808.38,1825.68,1803.07,1823.23,2605
2024-02-01 18:00:00,1823.23,1831.34,1820.33,1831.14,2076
2024-02-01 19:00:00,1831.14,1834.81,1825.41,1827.14,1062
2024-02-01 20:00:00,1827.14,1833.34,1825.46,1830.28,1737
2024-02-01 21:00:00,1830.28,1836.97,1827.76,1836.48,1341
2024-02-01 22:00:00,1836.48,1849.26,1835.65,1846.84,1186
2024-02-01 23:00:00,1846.84,1849.95,1845.6,1849.48,1203
2024-02-02 00:00:00,1849.48,1850.25,1841.67,1842.41,781
2024-02-02 01:00:00,1842.41,1851.53,1841.57,1850.16,665
2024-02-02 02:00:00,1850.16,1851.72,1845.84,1845.99,1345
2024-02-02 03:00:00,1845.99,1853.22,1842.62,1852.94,1369
2024-02-02 04:00:00,1852.94,1865.01,1850.52,1863.93,1331
2024-02-02 05:00:00,1863.93,1867.13,1863.35,1865.41,1377
2024-02-02 06:00:00,1865.41,1868.38,1861.02,1861.82,1291
2024-02-02 07:00:00,1861.82,1862.14,1854.73,1857.78,2941
2024-02-02 08:00:00,1857.78,1864.89,1855.96,1864.76,2989
2024-02-02 09:00:00,1864.76,1871.17,1864.57,1870.16,2515
2024-02-02 10:00:00,1870.16,1870.91,1869.34,1869.9,3195
2024-02-02 11:00:00,1869.9,1880.52,1869.68,1879.44,1834
2024-02-02 12:00:00,1879.44,1892.34,1877.82,1891.8,2827
2024-02-02 13:00:00,1891.8,1902.56,1890.41,1902.11,4919
2024-02-02 14:00:00,1902.11,1906.06,1900.0,1900.39,2709
2024-02-02 15:00:00,1900.39,1905.19,1899.72,1902.06,1755
2024-02-02 16:00:00,1902.06,1907.19,1898.93,1899.51,2263
2024-02-02 17:00:00,1899.51,1910.23,1898.66,1908.18,3627
2024-02-02 18:00:00,1908.18,1908.79,1903.8,1906.54,1816
2024-02-02 19:00:00,1906.54,1924.7,1903.48,1923.62,2685
2024-02-02 20:00:00,1923.62,1924.86,1918.86,1920.16,1941
2024-02-02 21:00:00,1920.16,1923.54,1908.83,1914.3,2996
